===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
10/28/2021 - 19:12

Col	Row	Information
___	___	___________
		Import Excel File: D:\Work Space\sasi\Ref\169.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  -1
0	0	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	4	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	4	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	5	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	5	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	5	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	5	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
